XAX1227,46,42,46
XAX1228,22,17,46
XAX1229,33,19,14
XAX123,11,19,22
XAX1230,63,44,77
XAX1231,31,67,83
XAX1232,29,31,37
XAX1233,11,21,12
XAX1234,18,8,11
XAX1235,11,26,16
XAX1236,16,20,23
XAX1237,19,43,44
XAX1238,30,3,56
XAX1239,23,11,35
XAX124,19,23,30
XAX1240,84,86,102
XAX1241,55,47,60
XAX1242,30,29,62
XAX1243,14,20,16
XAX1244,22,23,30
XAX1245,42,37,61
XAX1247,15,13,16
XAX1248,31,48,32
XAX1249,37,15,46
XAX125,91,32,78
XAX1252,18,28,26
XAX1253,31,16,54
XAX1254,28,35,59
XAX1255,17,7,19
XAX1256,21,17,30
XAX1257,9,8,17
XAX1259,19,19,24
XAX126,20,8,16
XAX1260,30,18,51
XAX1261,38,28,58
XAX1262,3,7,7
XAX1263,19,2,22
XAX1264,37,39,59
XAX1265,11,6,12
XAX1266,24,18,15
XAX1267,20,23,27
XAX1268,13,6,30
XAX1269,13,12,15
XAX127,19,7,22
XAX1270,22,18,44
XAX1271,15,6,20
XAX1272,26,11,40
XAX1273,120,130,132
XAX1274,8,12,12
XAX1275,22,16,27
XAX1276,48,28,65
XAX1277,21,14,48
XAX1278,0,3,7
XAX1279,18,17,35
XAX128,26,31,33
XAX1280,46,52,48
XAX1281,24,22,25
XAX1282,7,17,12
XAX1283,20,7,33
XAX1284,50,32,55
XAX1285,57,41,71
XAX1286,17,12,11
XAX1287,3,6,16
XAX1288,19,10,22
XAX1289,20,33,44
XAX129,50,59,53
XAX1290,13,25,20
XAX1291,47,58,52
XAX1292,38,81,55
XAX1293,27,26,51
XAX1294,28,40,31
XAX1295,22,26,22
XAX1296,15,10,15
XAX1297,20,2,39
XAX1298,59,70,57
XAX1299,38,27,60
XAX13,30,20,40
XAX130,35,35,51
XAX1300,26,20,22
XAX1301,37,27,52
XAX1302,26,14,47
XAX1303,41,40,50
XAX1304,60,53,83
XAX1305,55,18,73
XAX1306,54,32,63
XAX1307,30,38,43
XAX1308,21,54,36
XAX1309,33,25,60
XAX131,36,42,49
XAX1310,41,59,42
XAX1311,29,43,66
XAX1312,18,18,20
XAX1313,25,44,56
XAX1314,16,42,15
XAX1315,94,58,92
XAX1316,20,15,22
XAX1317,19,9,33
XAX1318,34,41,58
XAX1319,25,19,39
XAX132,24,15,13
XAX1320,51,42,65
XAX1321,17,25,29
XAX1322,20,22,38
XAX1323,20,11,19
XAX1324,12,8,8
XAX1325,21,18,24
XAX1326,43,31,68
XAX1327,41,10,66
XAX1328,31,21,39
XAX1329,31,6,28
XAX133,4,10,8
XAX1330,36,28,45
XAX1331,37,6,47
XAX1332,42,45,42
XAX1333,21,21,37
XAX1334,25,16,22
XAX1335,18,14,27
XAX1336,18,10,18
XAX1337,19,7,21
XAX1338,18,9,23
XAX1339,32,13,36
XAX134,38,38,48
XAX1340,18,5,13
XAX1341,35,57,51
XAX1342,15,15,19
XAX1344,35,17,40
XAX1345,24,8,34
XAX1346,54,56,64
XAX1347,25,19,24
XAX1348,25,16,37
XAX1349,16,2,9
XAX135,31,8,44
XAX1350,38,22,46
XAX1351,11,22,20
XAX1352,14,14,10
XAX1353,26,19,35
XAX1354,26,16,25
XAX1355,29,50,29
XAX1356,34,6,33
XAX1357,28,6,43
XAX1358,32,22,33
XAX1359,25,20,23
XAX136,8,6,10
XAX1360,13,11,20
XAX1361,48,72,81
XAX1362,12,17,38
XAX1363,16,26,19
XAX1364,37,35,45
XAX1365,17,23,28
XAX1366,22,24,33
XAX1367,42,45,64
XAX1368,18,13,28
XAX1369,25,33,42
XAX137,25,21,37
XAX1370,40,35,54
XAX1371,31,18,36
XAX1372,17,22,20
XAX1373,20,50,33
XAX1374,6,10,13
XAX1375,49,25,63
XAX1376,33,23,46
XAX1377,33,24,50
XAX1378,56,35,84
XAX1379,17,14,24
XAX138,43,29,66
XAX1380,20,7,25
XAX1381,29,49,52
XAX1382,27,22,34
XAX1383,28,23,59
XAX1384,11,5,12
XAX1385,31,15,26
XAX1386,28,15,41
XAX1387,17,28,23
XAX1388,39,42,76
XAX1389,30,21,25
XAX139,25,20,34
XAX1390,43,132,71
XAX1391,24,13,16
XAX1392,13,9,20
XAX1393,25,23,46
XAX1394,23,40,51
XAX1395,15,10,23
XAX1396,47,29,79
XAX1397,52,37,75
XAX1398,11,0,11
XAX1399,31,3,42
XAX14,63,51,74
XAX140,50,20,75
XAX1400,29,15,33
XAX1401,19,18,20
XAX1403,23,6,43
XAX1404,11,4,18
XAX1405,35,24,61
XAX1406,24,21,38
XAX1407,21,27,39
XAX1408,27,1,19
XAX1409,12,17,12
XAX141,35,29,53
XAX1410,31,23,52
XAX1411,42,64,57
XAX1412,33,20,33
XAX1413,27,61,41
XAX1414,25,24,42
XAX1415,30,18,26
XAX1416,22,8,27
XAX1417,44,41,35
XAX1418,35,30,56
XAX1419,40,46,56
XAX1420,12,16,20
XAX1421,22,25,49
XAX1422,15,27,27
XAX1423,29,30,40
XAX1424,51,12,66
XAX1425,29,42,55
XAX1426,45,25,56
XAX1427,27,19,55
XAX1428,39,40,70
XAX1429,30,27,51
